"Time (s)"	"Sound pressure level (dB)"
7.805524663E1	7.192371632E1
7.815981496E1	6.343023937E1
7.826565300E1	6.346497662E1
7.836760554E1	6.137733408E1
7.847405242E1	6.285826400E1
7.857649375E1	5.979421780E1
7.868242000E1	5.806135570E1
7.878647042E1	6.035983935E1
7.889304271E1	5.782678554E1
7.899921204E1	5.939764098E1
7.910552229E1	5.955052706E1
7.920972758E1	6.049186826E1
7.931611004E1	6.038574306E1
7.942212908E1	6.030775756E1
7.952649275E1	6.701102291E1
7.963304333E1	6.137976793E1
7.973491592E1	6.073671075E1
7.984138608E1	6.302439459E1
7.994312621E1	6.122727791E1
8.004972596E1	6.344857362E1
8.015176471E1	6.123161554E1
8.025747267E1	6.082684446E1
8.035982779E1	5.795820176E1
8.046654454E1	""
8.056856488E1	""
8.067400263E1	""
8.077643296E1	""
8.088292679E1	""
8.098647621E1	""
8.108931525E1	""
8.119319850E1	""
8.129745954E1	""
8.140225646E1	""
8.150552029E1	""
8.160973304E1	""
8.171629625E1	""
8.182210971E1	""
8.192647388E1	""
8.203075363E1	""
8.213584192E1	""
8.223949179E1	""
8.234606171E1	""
8.245059058E1	""
8.255274217E1	""
8.265570629E1	""
8.276230637E1	""
8.286750921E1	""
8.297396725E1	""
8.308055437E1	""
8.318628742E1	""
8.329285017E1	""
8.339773371E1	""
8.350300317E1	""
8.360553763E1	""
8.370970079E1	""
8.381441904E1	""
8.391983617E1	""
8.402195983E1	""
8.412714400E1	""
8.423109621E1	""
8.433488429E1	""
8.443668788E1	""
8.454320617E1	""
8.464778238E1	""
8.475354250E1	""
8.486007046E1	""
8.496441867E1	""
8.507021071E1	""
8.517381775E1	""
8.528035900E1	""
8.538646329E1	""
8.549310042E1	""
8.559950738E1	""
8.570554571E1	""
8.580969667E1	""
8.591618675E1	""
8.602213887E1	""
8.612859696E1	""
8.623292196E1	""
8.633745475E1	""
8.644392321E1	""
8.654953508E1	""
8.665412508E1	""
8.676066212E1	""
8.686620842E1	""
8.697084771E1	""
8.707395983E1	""
8.718046450E1	""
8.728575804E1	""
8.738770513E1	""
8.749428975E1	""
8.759951150E1	""
8.770556496E1	""
8.780968417E1	""
8.791622967E1	""
8.802211713E1	""
8.812863438E1	""
8.823315629E1	""
8.833793771E1	""
8.844445346E1	""
8.854981621E1	""
8.865268358E1	""
